iter	Passed	Remaining
0	154	153848
1	159	79509
2	168	56008
3	175	43577
4	188	37428
5	198	32877
6	205	29179
7	211	26188
8	215	23726
9	221	21901
10	244	22017
11	261	21552
12	266	20244
13	270	19020
14	277	18233
15	283	17458
16	295	17081
17	306	16728
18	312	16157
19	320	15712
20	327	15250
21	329	14656
22	336	14289
23	349	14210
24	359	14037
25	370	13861
26	366	13207
27	371	12905
28	399	13370
29	405	13120
30	410	12839
31	419	12703
32	435	12749
33	440	12508
34	447	12342
35	454	12166
36	457	11908
37	464	11750
38	481	11866
39	485	11642
40	497	11647
41	502	11463
42	499	11120
43	506	11006
44	518	10994
45	524	10887
46	542	10991
47	550	10923
48	565	10984
49	571	10857
50	578	10758
51	588	10722
52	593	10607
53	604	10587
54	613	10533
55	623	10506
56	632	10461
57	648	10527
58	656	10474
59	659	10337
60	664	10226
61	672	10177
62	679	10105
63	685	10024
64	694	9984
65	697	9867
66	702	67	7067	710	9740
68	718	69	7269	725	70	733	9595
71	743	9583
72	757	9617
73	765	9583
74	769	9485
75	776	9436
76	781	9365
77	784	9274
78	789	9207979	802	9224
80	815	9256
81	823	9223
82	832	9200
83	835	9110
84	841	9055
85	848	9013
86	853	8961
87	8587	858	88	8688	866	89	8789	876	90	884	8839191	894	8892	92	902	8799393	911	8789494	918	8759595	933	8789696	936	8719797	949	8749898	957	8713
99	966	8702
100	975	8682
101	978	86110102	985	85810103	1001	86104	993	8469
105	1003105	10106	106	1023	8107	107	107	1036	8108	108	1048	8109	1064	8615
110	1082	8670
111	1090	8643
112	1106	8689
113	1117	8682
114	1127	8674
115	1134	8646
116	116	1138	8117	1155	8640
118	1180	8739
119	1192	8744
120	1202	8735
121	1220	8780
122	1232	8790
123	1236	8735
124	1255	8789
125	1278	8868
126	1290	8867
127	1304	8885
128	1312	8858
129	1322	8850
130	1336	8866
131	131	1344	8132	1369	8927
133	1396	9024
134	1403	8992
135	1419	9019
136	1428	8997
137	1434	8961
138	1444	8948
139	1448	8899
140	1466	8933
141	1468	8874
142	1480	8870
143	1484	8823
144	1498	8837
145	1505	8805
146	1513	8779
147	1525	8783
148	1533	8758
149	1542	8738
150	1550	8715
151	1559	8700
152	1573	8710
153	1577	8665
154	1581	8619
155	155	1583	8156	156	1596	8157	157	1607	8566
158	1610	8520
159	1619	8501
160	1622	8456
161	1627	8162	162	1631	8163	163	1637	8164	164	1645	8165	165	1650	8166	1663	8297
167	1668	8264
168	1675	8240
169	1693	8266
170	1700	8245
171	1710	8233
172	1719	8217
173	1729	8209
174	1734	8178
175	1742	8157
176	1752	8149
177	1760	8131
178	1766	8101
179	1773	8078
180	1778	8045
181	1786	8028
182	1791	7999
183	1798	7974
184	1806	7959
185	1810	7922
186	1813	7884
187	1821	7867
188	1826	7838
189	1831	7809
190	1835	7772
191	1848	7778
192	1853	7751
193	1862	7736
194	1867	7707
195	1870	7673
196	1876	7650
197	1881	7622
198	1890	7610
199	1893	7574
200	1897	7544
201	1905	7528
202	1915	7519
203	1918	7486
204	1924	7463
205	1928	7431
206	1933	7408
207	1940	7386
208	1945	7364
209	1950	7337
210	1962	7338
211	1972	7331
212	1977	7307
213	1985	7294
214	1995	7286
215	2003	7272
216	2010	7253
217	2016	7232
218	2030	7241
219	2043	7245
220	2052	7233
221	2055	7203
222	2060	7180
223	2070	7171
224	2073	7141
225	2078	7119
226	226	2079	7227	2095	7095
228	2101	7075
229	2108	7059
230	2119	7056
231	2133	7062
232	2139	7042
233	2148	7033
234	2151	7005
235	2164	7008
236	2172	6995
237239	2185	69238	2187	6964
239241	2198	68240	2201	6933
241243	2213	68242244	2218	68243245	2228	68244	2228	6866
245247	2237	67246248	2249	67247249	2258	67248	2259	6815
249	2265	6796
250	2272	6780
251	2278	6763
252	2281	6737
253	2290	6728
254	2296	6708
255	2305	6701
256	2308	6675
257259	2317	65258260	2325	652592259	2319	6260262	2336	65261263	2342	65262	2344	6570
263	2352	6557
264	2356	6535
265	2359	6510
266268	2377	64267269	2383	64268	2389	6492
269271	2403	64270272	2412	6424
273	2418	6408
274	2424	63273275	2434	6385
